epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,190.522,0.79068,0.76787,1.28618,0.94331,0.94433,0.97676,0.81922,0.62392,0.40538,0.96398,0.00107532,0.00107532,0.00107532
27,409.202,0.66545,0.53331,0.9918,0.92077,0.93575,0.96839,0.81378,0.62462,0.42301,0.95798,0.00106118,0.00106118,0.00106118
28,667.967,0.65288,0.51607,0.98094,0.92545,0.93242,0.97198,0.82,0.6117,0.40518,0.95188,0.00104703,0.00104703,0.00104703
29,983.475,0.66736,0.52619,0.98971,0.93615,0.93756,0.97689,0.83095,0.58292,0.37217,0.94359,0.00103288,0.00103288,0.00103288
30,1374.14,0.67042,0.51818,0.98707,0.93977,0.94934,0.97703,0.83354,0.58957,0.3581,0.94179,0.00101873,0.00101873,0.00101873
31,1791.98,0.70728,0.55537,1.00176,0.93875,0.95572,0.97795,0.83725,0.57817,0.35241,0.93951,0.00100459,0.00100459,0.00100459
32,2172.72,0.70969,0.55078,1.0001,0.95489,0.95256,0.98043,0.83657,0.58667,0.34433,0.9382,0.00099044,0.00099044,0.00099044
33,2589.03,0.68576,0.54324,0.99022,0.95427,0.94002,0.97944,0.84171,0.57604,0.35341,0.93788,0.000976293,0.000976293,0.000976293
34,3026.81,0.69131,0.53763,0.99358,0.93081,0.94762,0.97835,0.83412,0.5805,0.36132,0.93786,0.000962146,0.000962146,0.000962146
35,3449.64,0.68106,0.52512,0.98768,0.94642,0.94611,0.97934,0.84814,0.56213,0.35093,0.93161,0.000947999,0.000947999,0.000947999
36,3976.01,0.68444,0.52855,0.98907,0.94423,0.94544,0.98033,0.84257,0.57649,0.35118,0.934,0.000933851,0.000933851,0.000933851
